uid,datetime,latitude,longitude,cluster
1,2018-01-01 00:25:46,-1.18884981099406,36.93138243675121,1
2,2018-01-01 02:02:39,-0.662938762534417,37.20873000399229,2
3,2018-01-01 02:31:49,-0.662938762534417,37.20873000399229,2
4,2018-01-01 03:04:01,-1.28808711064054,36.826583403307296,1
5,2018-01-01 03:58:49,-1.18884981099406,36.93138243675121,1
6,2018-01-01 04:04:09,-0.662938762534417,37.20873000399229,2
7,2018-01-01 05:31:17,-1.16522821102464,36.960007703423706,2
8,2018-01-01 07:57:56,-1.30130261058807,36.820903303292,1
9,2018-01-01 09:57:27,-1.13463971131295,36.8482196034995,1
10,2018-01-01 10:48:59,-1.11720711118115,37.00827840347071,2
11,2018-01-01 11:23:14,-1.2825470106648,36.82723370331429,1
12,2018-01-01 11:32:24,-1.2722614207103602,36.8281065733273,1
13,2018-01-01 14:34:07,-1.6050616087800402,37.1669184027834,3
14,2018-01-02 05:13:31,-1.3106566576446002,36.8054806097211,1
15,2018-01-02 05:28:15,-1.1888414109544598,36.9313708034022,1
16,2018-01-02 07:23:44,-1.26433113609309,36.7469843524426,4
17,2018-01-02 07:25:06,-1.26426660944345,36.74698523415729,4
18,2018-01-02 07:34:35,-1.32983701041026,36.855809503272,1
19,2018-01-02 07:34:54,-1.26433113609309,36.7469843524426,4
20,2018-01-02 07:37:25,-1.2641316290306,36.7542528847116,4
21,2018-01-02 07:38:40,-1.26433113609309,36.7469843524426,4
22,2018-01-02 07:41:50,-1.2641003775103898,36.75425230336489,4
23,2018-01-02 07:54:53,-1.26433113609309,36.7469843524426,4
24,2018-01-02 08:25:13,-1.26433113609309,36.7469843524426,4
25,2018-01-02 09:36:32,-1.1672840111931202,36.8253830034644,1
26,2018-01-02 10:14:37,-1.48464840935047,37.1370319029494,3
27,2018-01-02 11:40:51,-0.7833300126180859,37.1000000038811,2
28,2018-01-02 11:43:40,-1.11907251168763,36.6184080035925,4
29,2018-01-02 12:53:00,-1.28708381065599,36.81826470331129,1
30,2018-01-02 12:54:35,-1.3285224027756002,36.8807800190644,1
