"","date","time","latitude","longitude","sec","min","hour","day","month","year","wday","weekend","distance_from_centre","elevation","population_density"
"1","01-01-2018","00:25:46",-1.18884981099406,36.9313824367512,46,25,0,1,0,2018,1,0,0.150154155424649,-45.9261140827674,6317.6
"2","01-01-2018","02:02:39",-0.662938762534417,37.2087300039923,39,2,2,1,0,2018,1,0,0.736184713757977,-46.004657774741,6317.6
"3","01-01-2018","02:31:49",-0.662938762534417,37.2087300039923,49,31,2,1,0,2018,1,0,0.736184713757977,-46.004657774741,6317.6
"4","01-01-2018","03:04:01",-1.28808711064054,36.8265834033073,1,4,3,1,0,2018,1,0,0.00951318715377697,-45.9531045481325,6317.6
"5","01-01-2018","03:58:49",-1.18884981099406,36.9313824367512,49,58,3,1,0,2018,1,0,0.150154155424649,-45.9261140827674,6317.6
"6","01-01-2018","04:04:09",-0.662938762534417,37.2087300039923,9,4,4,1,0,2018,1,0,0.736184713757977,-46.004657774741,6317.6
"7","01-01-2018","05:31:17",-1.16522821102464,36.9600077034237,17,31,5,1,0,2018,1,0,0.187262938984007,-45.9166458318923,6317.6
"8","01-01-2018","07:57:56",-1.30130261058807,36.820903303292,56,57,7,1,0,2018,1,0,0.0153610029976465,-45.9499658271421,6317.6
"9","01-01-2018","09:57:27",-1.13463971131295,36.8482196034995,27,57,9,1,0,2018,1,0,0.154882652500308,-46.0252688720919,6317.6
"10","01-01-2018","10:48:59",-1.11720711118115,37.0082784034707,59,48,10,1,0,2018,1,0,0.255195373585941,-45.9053918040578,6317.6
"11","01-01-2018","11:23:14",-1.2825470106648,36.8272337033143,14,23,11,1,0,2018,1,0,0.0107226425333774,-45.9558219780766,6317.6
"12","01-01-2018","11:32:24",-1.27226142071036,36.8281065733273,24,32,11,1,0,2018,1,0,0.0178336946524196,-45.9611370176563,6317.6
"13","01-01-2018","14:34:07",-1.60506160878004,37.1669184027834,7,34,14,1,0,2018,1,0,0.473116377136243,-45.4916671040209,6317.6
"14","02-01-2018","05:13:31",-1.3106566576446,36.8054806097211,31,13,5,2,0,2018,2,0,0.0269592829470195,-45.9052673257876,6317.6
"15","02-01-2018","05:28:15",-1.18884141095446,36.9313708034022,15,28,5,2,0,2018,2,0,0.150150768063789,-45.8738993805276,6317.6
"16","02-01-2018","07:23:44",-1.26433113609309,36.7469843524426,44,23,7,2,0,2018,2,0,0.0736207645357466,-45.97979253631,6317.6
"17","02-01-2018","07:25:06",-1.26426660944345,36.7469852341573,6,25,7,2,0,2018,2,0,0.0736392824144236,-45.979829481021,6317.6
"18","02-01-2018","07:34:35",-1.32983701041026,36.855809503272,35,34,7,2,0,2018,2,0,0.0581089308400194,-45.8532148111322,6317.6
"19","02-01-2018","07:34:54",-1.26433113609309,36.7469843524426,54,34,7,2,0,2018,2,0,0.0736207645357466,-45.97979253631,6317.6
"20","02-01-2018","07:37:25",-1.2641316290306,36.7542528847116,25,37,7,2,0,2018,2,0,0.0667879179335904,-45.9740081087619,6317.6
"21","02-01-2018","07:38:40",-1.26433113609309,36.7469843524426,40,38,7,2,0,2018,2,0,0.0736207645357466,-45.97979253631,6317.6
"22","02-01-2018","07:41:50",-1.26410037751039,36.7542523033649,50,41,7,2,0,2018,2,0,0.0667988871703324,-45.9740268183691,6317.6
"23","02-01-2018","07:54:53",-1.26433113609309,36.7469843524426,53,54,7,2,0,2018,2,0,0.0736207645357466,-45.97979253631,6317.6
"24","02-01-2018","08:25:13",-1.26433113609309,36.7469843524426,13,25,8,2,0,2018,2,0,0.0736207645357466,-45.97979253631,6317.6
"25","02-01-2018","09:36:32",-1.16728401119312,36.8253830034644,32,36,9,2,0,2018,2,0,0.119384186621286,-45.9726453311016,6317.6
"26","02-01-2018","10:14:37",-1.48464840935047,37.1370319029494,37,14,10,2,0,2018,2,0,0.376277195431372,-45.5345495523966,6317.6
"27","02-01-2018","11:40:51",-0.783330012618086,37.1000000038811,51,40,11,2,0,2018,2,0,0.577088536283376,-45.9706708707995,6317.6
"28","02-01-2018","11:43:40",-1.11907251168763,36.6184080035925,40,43,11,2,0,2018,2,0,0.259850360895838,-46.1689387431065,6317.6
"29","02-01-2018","12:53:00",-1.28708381065599,36.8182647033113,0,53,12,2,0,2018,2,0,0.00125216118628504,-45.9086419214072,6317.6
"30","02-01-2018","12:54:35",-1.3285224027756,36.8807800190644,35,54,12,2,0,2018,2,0,0.0762543002184345,-45.8337053619642,6317.6
"31","02-01-2018","13:14:14",-1.29228787431091,36.8423884423268,14,14,13,2,0,2018,2,0,0.025847557053608,-45.8860155477238,6317.6
"32","02-01-2018","13:16:07",-1.32834076242482,36.8811599103441,7,16,13,2,0,2018,2,0,0.0764714252181725,-45.83350278929,6317.6
"33","02-01-2018","13:54:06",-1.3261974102945,36.8811002705848,6,54,13,2,0,2018,2,0,0.0752662954285557,-45.8348012327109,6317.6
"34","02-01-2018","14:10:58",-1.48313562213472,37.0482844716554,58,10,14,2,0,2018,2,0,0.303477572490921,-45.607500558067,6317.6
"35","02-01-2018","14:17:01",-1.17068941098342,36.9722933034125,1,17,14,2,0,2018,2,0,0.193476597807204,-45.8511375533589,6317.6
"36","02-01-2018","14:41:44",-1.3261974102945,36.8811002705848,44,41,14,2,0,2018,2,0,0.0752662954285557,-45.8348012327109,6317.6
"37","02-01-2018","15:00:34",-1.3261974102945,36.8811002705848,34,0,15,2,0,2018,2,0,0.0752662954285557,-45.8348012327109,6317.6
"38","02-01-2018","15:03:19",-1.32815651050347,36.8707640046704,19,3,15,2,0,2018,2,0,0.0679055529008732,-45.8420524282939,6317.6
"39","02-01-2018","15:39:32",-1.48464840935047,37.1370319029494,32,39,15,2,0,2018,2,0,0.376277195431372,-45.5345495523966,6317.6
"40","02-01-2018","16:55:16",-1.26236801068609,36.8790866699941,16,55,16,2,0,2018,2,0,0.0663635562094009,-45.8736381645783,6317.6
"41","03-01-2018","00:46:33",-1.46107358539872,36.9639318060297,33,46,0,3,0,2018,3,0,0.22811878077568,-45.6409948559939,6317.6
"42","03-01-2018","01:58:56",-1.28464937735666,36.8209022366343,56,58,1,3,0,2018,3,0,0.00406977507392997,-45.8598832051933,6317.6
"43","03-01-2018","02:19:21",-1.28470480968288,36.8209035879631,21,19,2,3,0,2018,3,0,0.00404761964349682,-45.8598499170048,6317.6
"44","03-01-2018","02:19:59",-1.27306111238582,36.8129184019364,59,19,2,3,0,2018,3,0,0.0140057899721988,-45.8731103377118,6317.6
"45","03-01-2018","02:22:36",-1.28478393683051,36.820374185281,36,22,2,3,0,2018,3,0,0.00353641010817953,-45.8602348644396,6317.6
"46","03-01-2018","02:44:08",-1.28352951533251,36.8237275516571,8,44,2,3,0,2018,3,0,0.00710533917723265,-45.858233816321,6317.6
"47","03-01-2018","02:47:26",-1.28352951533251,36.8237275516571,26,47,2,3,0,2018,3,0,0.00710533917723265,-45.858233816321,6317.6
"48","03-01-2018","03:00:32",-1.28840901063693,36.8281760033063,32,0,3,3,0,2018,3,0,0.0111377163009787,-45.8517797308429,6317.6
"49","03-01-2018","03:03:23",-1.28366386533288,36.8226081616571,23,3,3,3,0,2018,3,0,0.00603542252266282,-45.8590669373741,6317.6
"50","03-01-2018","03:09:23",-1.31075901057298,36.7997843032866,23,9,3,3,0,2018,3,0,0.0299667408703224,-45.8619001126328,6317.6
"51","03-01-2018","03:13:26",-1.31659931049483,36.8338161532564,26,13,3,3,0,2018,3,0,0.0344673119808386,-45.8308166271687,6317.6
"52","03-01-2018","03:17:40",-1.28366386533288,36.8226081616571,40,17,3,3,0,2018,3,0,0.00603542252266282,-45.8590669373741,6317.6
"53","03-01-2018","03:33:33",-1.28482959431042,36.8213796181513,33,33,3,3,0,2018,3,0,0.00443950679247191,-45.8593900023725,6317.6
"54","03-01-2018","03:58:34",-1.29081391063473,36.8215571033054,34,58,3,3,0,2018,3,0,0.0061938909892889,-45.8557703942289,6317.6
"55","03-01-2018","04:07:11",-1.31659931049483,36.8338161532564,11,7,4,3,0,2018,3,0,0.0344673119808386,-45.8308166271687,6317.6
"56","03-01-2018","04:18:49",-1.29969864268136,36.8072891351407,49,18,4,3,0,2018,3,0,0.0166080781352979,-45.8622208031566,6317.6
"57","03-01-2018","04:19:52",-1.2848065320572,36.8203252373514,52,19,4,3,0,2018,3,0,0.00348253950076747,-45.8602615836796,6317.6
"58","03-01-2018","04:20:52",-1.45103490969606,36.9877780030434,52,20,4,3,0,2018,3,0,0.237059664731848,-45.6274344603575,6317.6
"59","03-01-2018","04:45:21",-1.29081391063473,36.8215571033054,21,45,4,3,0,2018,3,0,0.0061938909892889,-45.8557703942289,6317.6
"60","03-01-2018","05:09:38",-1.32834076242482,36.8811599103441,38,9,5,3,0,2018,3,0,0.0764714252181725,-45.7854675584484,6317.6
