date,time,latitude,longitude,sec,min,hour,day,month,year,wday,weekend,distance_from_centre,elevation,population_density,class
01-01-2018,00:25:46,-1.18884981099406,36.9313824367512,46,25,0,1,0,2018,1,0,0.150154155424649,-45.9261140827674,6317.6,1
01-01-2018,02:02:39,-0.662938762534417,37.2087300039923,39,2,2,1,0,2018,1,0,0.736184713757977,-46.004657774741,6317.6,1
01-01-2018,02:31:49,-0.662938762534417,37.2087300039923,49,31,2,1,0,2018,1,0,0.736184713757977,-46.004657774741,6317.6,1
01-01-2018,03:04:01,-1.28808711064054,36.8265834033073,1,4,3,1,0,2018,1,0,0.00951318715377697,-45.9531045481325,6317.6,1
01-01-2018,03:58:49,-1.18884981099406,36.9313824367512,49,58,3,1,0,2018,1,0,0.150154155424649,-45.9261140827674,6317.6,1
01-01-2018,04:04:09,-0.662938762534417,37.2087300039923,9,4,4,1,0,2018,1,0,0.736184713757977,-46.004657774741,6317.6,1
01-01-2018,05:31:17,-1.16522821102464,36.9600077034237,17,31,5,1,0,2018,1,0,0.187262938984007,-45.9166458318923,6317.6,1
01-01-2018,07:57:56,-1.30130261058807,36.820903303292,56,57,7,1,0,2018,1,0,0.0153610029976465,-45.9499658271421,6317.6,1
01-01-2018,09:57:27,-1.13463971131295,36.8482196034995,27,57,9,1,0,2018,1,0,0.154882652500308,-46.0252688720919,6317.6,1
01-01-2018,10:48:59,-1.11720711118115,37.0082784034707,59,48,10,1,0,2018,1,0,0.255195373585941,-45.9053918040578,6317.6,1
01-01-2018,11:23:14,-1.2825470106648,36.8272337033143,14,23,11,1,0,2018,1,0,0.0107226425333774,-45.9558219780766,6317.6,1
01-01-2018,11:32:24,-1.27226142071036,36.8281065733273,24,32,11,1,0,2018,1,0,0.0178336946524196,-45.9611370176563,6317.6,1
01-01-2018,14:34:07,-1.60506160878004,37.1669184027834,7,34,14,1,0,2018,1,0,0.473116377136243,-45.4916671040209,6317.6,1
02-01-2018,05:13:31,-1.3106566576446,36.8054806097211,31,13,5,2,0,2018,2,0,0.0269592829470195,-45.9052673257876,6317.6,1
02-01-2018,05:28:15,-1.18884141095446,36.9313708034022,15,28,5,2,0,2018,2,0,0.150150768063789,-45.8738993805276,6317.6,1
02-01-2018,07:23:44,-1.26433113609309,36.7469843524426,44,23,7,2,0,2018,2,0,0.0736207645357466,-45.97979253631,6317.6,1
02-01-2018,07:25:06,-1.26426660944345,36.7469852341573,6,25,7,2,0,2018,2,0,0.0736392824144236,-45.979829481021,6317.6,1
02-01-2018,07:34:35,-1.32983701041026,36.855809503272,35,34,7,2,0,2018,2,0,0.0581089308400194,-45.8532148111322,6317.6,1
02-01-2018,07:34:54,-1.26433113609309,36.7469843524426,54,34,7,2,0,2018,2,0,0.0736207645357466,-45.97979253631,6317.6,1
02-01-2018,07:37:25,-1.2641316290306,36.7542528847116,25,37,7,2,0,2018,2,0,0.0667879179335904,-45.9740081087619,6317.6,1
02-01-2018,07:38:40,-1.26433113609309,36.7469843524426,40,38,7,2,0,2018,2,0,0.0736207645357466,-45.97979253631,6317.6,1
02-01-2018,07:41:50,-1.26410037751039,36.7542523033649,50,41,7,2,0,2018,2,0,0.0667988871703324,-45.9740268183691,6317.6,1
02-01-2018,07:54:53,-1.26433113609309,36.7469843524426,53,54,7,2,0,2018,2,0,0.0736207645357466,-45.97979253631,6317.6,1
02-01-2018,08:25:13,-1.26433113609309,36.7469843524426,13,25,8,2,0,2018,2,0,0.0736207645357466,-45.97979253631,6317.6,1
02-01-2018,09:36:32,-1.16728401119312,36.8253830034644,32,36,9,2,0,2018,2,0,0.119384186621286,-45.9726453311016,6317.6,1
02-01-2018,10:14:37,-1.48464840935047,37.1370319029494,37,14,10,2,0,2018,2,0,0.376277195431372,-45.5345495523966,6317.6,1
02-01-2018,11:40:51,-0.783330012618086,37.1000000038811,51,40,11,2,0,2018,2,0,0.577088536283376,-45.9706708707995,6317.6,1
02-01-2018,11:43:40,-1.11907251168763,36.6184080035925,40,43,11,2,0,2018,2,0,0.259850360895838,-46.1689387431065,6317.6,1
02-01-2018,12:53:00,-1.28708381065599,36.8182647033113,0,53,12,2,0,2018,2,0,0.00125216118628504,-45.9086419214072,6317.6,1
02-01-2018,12:54:35,-1.3285224027756,36.8807800190644,35,54,12,2,0,2018,2,0,0.0762543002184345,-45.8337053619642,6317.6,1
02-01-2018,13:14:14,-1.29228787431091,36.8423884423268,14,14,13,2,0,2018,2,0,0.025847557053608,-45.8860155477238,6317.6,1
02-01-2018,13:16:07,-1.32834076242482,36.8811599103441,7,16,13,2,0,2018,2,0,0.0764714252181725,-45.83350278929,6317.6,1
