"","date","time","latitude","longitude","sec","min","hour","day","month","year","wday","weekend","precipitation","relative_humidity","specific_humidity","temp","wind_u","wind_v","wind_res"
"1","01-01-2018","00:25:46",-1.18884981099406,36.9313824367512,46,25,0,1,0,2018,1,0,24.10000038,72.70000458,0.00956,15.16149292,-0.012186279,-0.933913529,0.933993032653402
"2","01-01-2018","02:02:39",-0.662938762534417,37.2087300039923,39,2,2,1,0,2018,1,0,24.10000038,72.70000458,0.00956,15.16149292,-0.012186279,-0.933913529,0.933993032653402
"3","01-01-2018","02:31:49",-0.662938762534417,37.2087300039923,49,31,2,1,0,2018,1,0,24.10000038,72.70000458,0.00956,15.16149292,-0.012186279,-0.933913529,0.933993032653402
"4","01-01-2018","03:04:01",-1.28808711064054,36.8265834033073,1,4,3,1,0,2018,1,0,24.10000038,72.70000458,0.00956,15.16149292,-0.012186279,-0.933913529,0.933993032653402
"5","01-01-2018","03:58:49",-1.18884981099406,36.9313824367512,49,58,3,1,0,2018,1,0,24.10000038,72.70000458,0.00956,15.16149292,-0.012186279,-0.933913529,0.933993032653402
"6","01-01-2018","04:04:09",-0.662938762534417,37.2087300039923,9,4,4,1,0,2018,1,0,24.10000038,72.70000458,0.00956,15.16149292,-0.012186279,-0.933913529,0.933993032653402
"7","01-01-2018","05:31:17",-1.16522821102464,36.9600077034237,17,31,5,1,0,2018,1,0,24.10000038,72.70000458,0.00956,15.16149292,-0.012186279,-0.933913529,0.933993032653402
"8","01-01-2018","07:57:56",-1.30130261058807,36.820903303292,56,57,7,1,0,2018,1,0,24.10000038,72.70000458,0.00956,15.16149292,-0.012186279,-0.933913529,0.933993032653402
"9","01-01-2018","09:57:27",-1.13463971131295,36.8482196034995,27,57,9,1,0,2018,1,0,24.10000038,72.70000458,0.00956,15.16149292,-0.012186279,-0.933913529,0.933993032653402
"10","01-01-2018","10:48:59",-1.11720711118115,37.0082784034707,59,48,10,1,0,2018,1,0,24.10000038,72.70000458,0.00956,15.16149292,-0.012186279,-0.933913529,0.933993032653402
